model,model_id,audit_decision,check_id,check,status,evidence,decision_rule
GAT,B2_gat,WITHHOLD,evidence_integrity,Evidence integrity,PASS,All 5 checkpoint sweeps passed experiment preflight.,Every frozen checkpoint sweep must pass preflight. This is not an explanation-release decision.
GAT,B2_gat,WITHHOLD,freshness_visibility,Freshness is visible,PASS,"Freshness is reported separately in 20 stale-exposed condition rows; 15,028 records were audited.",AoI-derived exposure and stale-attention measurements must be present and non-empty.
GAT,B2_gat,WITHHOLD,action_aware_controls,Action-aware controls,PASS,"Type matching, chosen-action protection, raw attention, and LOO controls are present.","All sweeps must use type matching and chosen-action protection, with a LOO positive control."
GAT,B2_gat,WITHHOLD,decision_relevance,Decision relevance,FAIL,"Default self-row attention did not beat its random control for dispatch decisions: clean CI95 lower=-0.00138828, outage_60s CI95 lower=-0.00115661.",The 95% CI lower bound of dispatch-action margin-DEF must exceed 0 for clean and 60-second outage observations.
GAT,B2_gat,WITHHOLD,action_composition,Action composition,PASS,"Reported 5,143 no-op and 14,953 dispatch decisions separately.",Both strata must be reported and dispatch must contain at least 20 decisions.
GAT,B2_gat,WITHHOLD,extraction_stability,Attention extraction stability,FAIL,"At least one layer/head/rollout choice reverses the default direction for seeds: 42, 43, 44, 45, 46.",The declared self-row mean over layers and heads must not have its direction reversed by an audited alternative.
GAT,B2_gat,WITHHOLD,checkpoint_consistency,Checkpoint consistency,FAIL,"The conclusion is not consistent across checkpoints for: dispatch relevance (clean, outage_60s); stale-attention response.",Every configured training seed must be present and give the same non-zero direction for dispatch decision relevance and stale-attention response.
GAT,B2_gat,WITHHOLD,deterministic_capability,Deployment-action capability,NOT APPLICABLE,The audited action rule uses stochastic sampling; argmax results are retained as a descriptive diagnostic.,Require argmax capability only when argmax is the intended deployment action rule.
GAT,B2_gat,WITHHOLD,trigger_robustness,Trigger robustness,INDETERMINATE,"No supported direction reverses between triggers, but at least one interval crosses zero for seeds: 42, 45.",A direction is supported only when its 95% confidence interval excludes zero; supported tunnel and random directions must agree.
GAT-Outage,H5_gat_degraded,WITHHOLD,evidence_integrity,Evidence integrity,PASS,All 5 checkpoint sweeps passed experiment preflight.,Every frozen checkpoint sweep must pass preflight. This is not an explanation-release decision.
GAT-Outage,H5_gat_degraded,WITHHOLD,freshness_visibility,Freshness is visible,PASS,"Freshness is reported separately in 20 stale-exposed condition rows; 15,029 records were audited.",AoI-derived exposure and stale-attention measurements must be present and non-empty.
GAT-Outage,H5_gat_degraded,WITHHOLD,action_aware_controls,Action-aware controls,PASS,"Type matching, chosen-action protection, raw attention, and LOO controls are present.","All sweeps must use type matching and chosen-action protection, with a LOO positive control."
GAT-Outage,H5_gat_degraded,WITHHOLD,decision_relevance,Decision relevance,FAIL,"Default self-row attention did not beat its random control for dispatch decisions: clean CI95 lower=-0.00343498, outage_60s CI95 lower=-0.002997.",The 95% CI lower bound of dispatch-action margin-DEF must exceed 0 for clean and 60-second outage observations.
GAT-Outage,H5_gat_degraded,WITHHOLD,action_composition,Action composition,PASS,"Reported 4,342 no-op and 15,714 dispatch decisions separately.",Both strata must be reported and dispatch must contain at least 20 decisions.
GAT-Outage,H5_gat_degraded,WITHHOLD,extraction_stability,Attention extraction stability,FAIL,"At least one layer/head/rollout choice reverses the default direction for seeds: 42, 43, 44, 45, 46.",The declared self-row mean over layers and heads must not have its direction reversed by an audited alternative.
GAT-Outage,H5_gat_degraded,WITHHOLD,checkpoint_consistency,Checkpoint consistency,FAIL,The conclusion is not consistent across checkpoints for: stale-attention response.,Every configured training seed must be present and give the same non-zero direction for dispatch decision relevance and stale-attention response.
GAT-Outage,H5_gat_degraded,WITHHOLD,deterministic_capability,Deployment-action capability,NOT APPLICABLE,The audited action rule uses stochastic sampling; argmax results are retained as a descriptive diagnostic.,Require argmax capability only when argmax is the intended deployment action rule.
GAT-Outage,H5_gat_degraded,WITHHOLD,trigger_robustness,Trigger robustness,INDETERMINATE,"No supported direction reverses between triggers, but at least one interval crosses zero for seeds: 43, 46.",A direction is supported only when its 95% confidence interval excludes zero; supported tunnel and random directions must agree.
