model,model_id,audit_decision,check_id,check,status,evidence,decision_rule
GAT,B2_gat,WITHHOLD,evidence_integrity,Evidence integrity,PASS,All 3 checkpoint sweeps passed experiment preflight.,Every frozen checkpoint sweep must pass preflight. This is not an explanation-release decision.
GAT,B2_gat,WITHHOLD,freshness_visibility,Freshness is visible,PASS,"Freshness is reported separately in 12 stale-exposed condition rows; 10,832 records were audited.",AoI-derived exposure and stale-attention measurements must be present and non-empty.
GAT,B2_gat,WITHHOLD,action_aware_controls,Action-aware controls,PASS,"Type matching, chosen-action protection, raw attention, and LOO controls are present.","All sweeps must use type matching and chosen-action protection, with a LOO positive control."
GAT,B2_gat,WITHHOLD,decision_relevance,Decision relevance,FAIL,"Default self-row attention did not beat its random control for dispatch decisions: clean CI95 lower=-0.00367092, outage_60s CI95 lower=-0.00371481.",The 95% CI lower bound of dispatch-action margin-DEF must exceed 0 for clean and 60-second outage observations.
GAT,B2_gat,WITHHOLD,action_composition,Action composition,PASS,"Reported 26,278 no-op and 2,020 dispatch decisions separately.",Both strata must be reported and dispatch must contain at least 1 decisions.
GAT,B2_gat,WITHHOLD,extraction_stability,Attention extraction stability,FAIL,"At least one layer/head/rollout choice reverses the default direction for seeds: 42, 43, 44.",The declared self-row mean over layers and heads must not have its direction reversed by an audited alternative.
GAT,B2_gat,WITHHOLD,checkpoint_consistency,Checkpoint consistency,FAIL,The conclusion is not consistent across checkpoints for: stale-attention response.,Every configured training seed must be present and give the same non-zero direction for dispatch decision relevance and stale-attention response.
GAT,B2_gat,WITHHOLD,deterministic_capability,Deterministic capability,FAIL,"Argmax evaluation produced zero pickups in every episode for seeds: 42, 43, 44.",Every checkpoint must complete at least one pickup in the held-out deterministic diagnostic.
GAT,B2_gat,WITHHOLD,trigger_robustness,Trigger robustness,FAIL,"Trigger type changes at least one conclusion for seeds: 42, 43.",Attention-shift and DEF-shift directions must agree between tunnel and random triggers for every checkpoint.
GAT-Outage,H5_gat_degraded,WITHHOLD,evidence_integrity,Evidence integrity,PASS,All 3 checkpoint sweeps passed experiment preflight.,Every frozen checkpoint sweep must pass preflight. This is not an explanation-release decision.
GAT-Outage,H5_gat_degraded,WITHHOLD,freshness_visibility,Freshness is visible,PASS,"Freshness is reported separately in 12 stale-exposed condition rows; 10,885 records were audited.",AoI-derived exposure and stale-attention measurements must be present and non-empty.
GAT-Outage,H5_gat_degraded,WITHHOLD,action_aware_controls,Action-aware controls,PASS,"Type matching, chosen-action protection, raw attention, and LOO controls are present.","All sweeps must use type matching and chosen-action protection, with a LOO positive control."
GAT-Outage,H5_gat_degraded,WITHHOLD,decision_relevance,Decision relevance,FAIL,"Default self-row attention did not beat its random control for dispatch decisions: clean CI95 lower=-0.00765253, outage_60s CI95 lower=-0.00751612.",The 95% CI lower bound of dispatch-action margin-DEF must exceed 0 for clean and 60-second outage observations.
GAT-Outage,H5_gat_degraded,WITHHOLD,action_composition,Action composition,PASS,"Reported 26,307 no-op and 1,945 dispatch decisions separately.",Both strata must be reported and dispatch must contain at least 1 decisions.
GAT-Outage,H5_gat_degraded,WITHHOLD,extraction_stability,Attention extraction stability,FAIL,"At least one layer/head/rollout choice reverses the default direction for seeds: 42, 43, 44.",The declared self-row mean over layers and heads must not have its direction reversed by an audited alternative.
GAT-Outage,H5_gat_degraded,WITHHOLD,checkpoint_consistency,Checkpoint consistency,FAIL,The conclusion is not consistent across checkpoints for: stale-attention response.,Every configured training seed must be present and give the same non-zero direction for dispatch decision relevance and stale-attention response.
GAT-Outage,H5_gat_degraded,WITHHOLD,deterministic_capability,Deterministic capability,FAIL,"Argmax evaluation produced zero pickups in every episode for seeds: 42, 43, 44.",Every checkpoint must complete at least one pickup in the held-out deterministic diagnostic.
GAT-Outage,H5_gat_degraded,WITHHOLD,trigger_robustness,Trigger robustness,PASS,Tunnel and random triggers give the same direction for attention and DEF in every checkpoint.,Attention-shift and DEF-shift directions must agree between tunnel and random triggers for every checkpoint.
